data,fascia_anagrafica,nome_area,vaccinazioni_previste
2021-03-01,12-19,Puglia,6
2021-03-01,12-19,Lazio,6
2021-03-01,12-19,Sicilia,5
2021-03-01,12-19,Veneto,5
2021-03-01,12-19,Toscana,5
2021-03-01,20-29,Toscana,444
2021-03-01,20-29,Puglia,363
2021-03-01,20-29,Veneto,334
2021-03-01,20-29,Piemonte,283
2021-03-01,20-29,Lombardia,271
2021-03-01,30-39,Toscana,911
2021-03-01,30-39,Campania,564
2021-03-01,30-39,Puglia,545
2021-03-01,30-39,Piemonte,393
2021-03-01,30-39,Lombardia,388
2021-03-01,40-49,Toscana,1424
2021-03-01,40-49,Campania,1150
2021-03-01,40-49,Puglia,919
2021-03-01,40-49,Lazio,880
2021-03-01,40-49,Sicilia,678
2021-03-01,50-59,Campania,1867
2021-03-01,50-59,Lazio,1159
2021-03-01,50-59,Toscana,1069
2021-03-01,50-59,Puglia,975
2021-03-01,50-59,Sicilia,622
2021-03-01,60-69,Campania,960
2021-03-01,60-69,Puglia,441
2021-03-01,60-69,Lazio,286
2021-03-01,60-69,Toscana,236
2021-03-01,60-69,Veneto,163
2021-03-01,70-79,Lombardia,133
2021-03-01,70-79,Lazio,91
2021-03-01,70-79,Toscana,54
2021-03-01,70-79,Sardegna,54
2021-03-01,70-79,Sicilia,49
2021-03-01,80-89,Lazio,3192
2021-03-01,80-89,Emilia-Romagna,3011
2021-03-01,80-89,Lombardia,2986
2021-03-01,80-89,Campania,2616
2021-03-01,80-89,Veneto,2422
2021-03-01,90+,Emilia-Romagna,1436
2021-03-01,90+,Lombardia,1076
2021-03-01,90+,Lazio,705
2021-03-01,90+,Toscana,601
2021-03-01,90+,Piemonte,592
2021-04-01,12-19,Lombardia,30
2021-04-01,12-19,Sicilia,25
2021-04-01,12-19,Campania,22
2021-04-01,12-19,Veneto,21
2021-04-01,12-19,Lazio,20
2021-04-01,20-29,Lombardia,1234
2021-04-01,20-29,Veneto,519
