algoritmo,k,regione,stima percentuale popolazione vaccinata,stima numero vaccinazioni,cluster
KMEANS,2,Abruzzo,0.6255057358222798,803935,1
KMEANS,2,Basilicata,0.6066759316920481,332203,1
KMEANS,2,Calabria,0.5739010122871896,1077630,0
KMEANS,2,Campania,0.5978158580320045,3395450,1
KMEANS,2,Emilia-Romagna,0.6072800007378166,2699693,1
KMEANS,2,Friuli-Venezia Giulia,0.6254758069427147,749791,1
KMEANS,2,Lazio,0.5996202276746103,3430305,1
KMEANS,2,Liguria,0.6422829438238713,969722,1
KMEANS,2,Lombardia,0.6158433758148898,6138106,1
KMEANS,2,Marche,0.6122574440224696,919247,1
KMEANS,2,Molise,0.6525070224955909,193499,1
KMEANS,2,Piemonte,0.6006479906206341,2566695,1
KMEANS,2,Provincia Autonoma Bolzano,0.6083696354796099,324696,1
KMEANS,2,Provincia Autonoma Trento,0.5559959246987123,302876,0
KMEANS,2,Puglia,0.6134029347599945,2408791,1
KMEANS,2,Sardegna,0.5789854369691376,925349,0
KMEANS,2,Sicilia,0.5423156883175689,2625283,0
KMEANS,2,Toscana,0.5932702947087956,2176313,0
KMEANS,2,Umbria,0.6196034048043209,535965,1
KMEANS,2,Valle d'Aosta,0.6078130675168489,75305,1
KMEANS,2,Veneto,0.5913275203283782,2869389,0
KMEANS,3,Abruzzo,0.6255057358222798,803935,0
KMEANS,3,Basilicata,0.6066759316920481,332203,0
KMEANS,3,Calabria,0.5739010122871896,1077630,2
KMEANS,3,Campania,0.5978158580320045,3395450,2
KMEANS,3,Emilia-Romagna,0.6072800007378166,2699693,0
KMEANS,3,Friuli-Venezia Giulia,0.6254758069427147,749791,0
KMEANS,3,Lazio,0.5996202276746103,3430305,2
KMEANS,3,Liguria,0.6422829438238713,969722,0
KMEANS,3,Lombardia,0.6158433758148898,6138106,0
KMEANS,3,Marche,0.6122574440224696,919247,0
KMEANS,3,Molise,0.6525070224955909,193499,0
KMEANS,3,Piemonte,0.6006479906206341,2566695,2
KMEANS,3,Provincia Autonoma Bolzano,0.6083696354796099,324696,0
KMEANS,3,Provincia Autonoma Trento,0.5559959246987123,302876,1
KMEANS,3,Puglia,0.6134029347599945,2408791,0
KMEANS,3,Sardegna,0.5789854369691376,925349,2
KMEANS,3,Sicilia,0.5423156883175689,2625283,1
KMEANS,3,Toscana,0.5932702947087956,2176313,2
KMEANS,3,Umbria,0.6196034048043209,535965,0
KMEANS,3,Valle d'Aosta,0.6078130675168489,75305,0
KMEANS,3,Veneto,0.5913275203283782,2869389,2
KMEANS,4,Abruzzo,0.6255057358222798,803935,2
KMEANS,4,Basilicata,0.6066759316920481,332203,2
KMEANS,4,Calabria,0.5739010122871896,1077630,3
KMEANS,4,Campania,0.5978158580320045,3395450,2
KMEANS,4,Emilia-Romagna,0.6072800007378166,2699693,2
KMEANS,4,Friuli-Venezia Giulia,0.6254758069427147,749791,2
KMEANS,4,Lazio,0.5996202276746103,3430305,2
KMEANS,4,Liguria,0.6422829438238713,969722,0
KMEANS,4,Lombardia,0.6158433758148898,6138106,2
KMEANS,4,Marche,0.6122574440224696,919247,2
KMEANS,4,Molise,0.6525070224955909,193499,0
KMEANS,4,Piemonte,0.6006479906206341,2566695,2
KMEANS,4,Provincia Autonoma Bolzano,0.6083696354796099,324696,2
KMEANS,4,Provincia Autonoma Trento,0.5559959246987123,302876,1
KMEANS,4,Puglia,0.6134029347599945,2408791,2
KMEANS,4,Sardegna,0.5789854369691376,925349,3
KMEANS,4,Sicilia,0.5423156883175689,2625283,1
KMEANS,4,Toscana,0.5932702947087956,2176313,3
KMEANS,4,Umbria,0.6196034048043209,535965,2
KMEANS,4,Valle d'Aosta,0.6078130675168489,75305,2
KMEANS,4,Veneto,0.5913275203283782,2869389,3
KMEANS,5,Abruzzo,0.6255057358222798,803935,2
KMEANS,5,Basilicata,0.6066759316920481,332203,2
KMEANS,5,Calabria,0.5739010122871896,1077630,0
KMEANS,5,Campania,0.5978158580320045,3395450,0
KMEANS,5,Emilia-Romagna,0.6072800007378166,2699693,2
KMEANS,5,Friuli-Venezia Giulia,0.6254758069427147,749791,2
KMEANS,5,Lazio,0.5996202276746103,3430305,2
KMEANS,5,Liguria,0.6422829438238713,969722,1
KMEANS,5,Lombardia,0.6158433758148898,6138106,2
KMEANS,5,Marche,0.6122574440224696,919247,2
KMEANS,5,Molise,0.6525070224955909,193499,4
KMEANS,5,Piemonte,0.6006479906206341,2566695,2
KMEANS,5,Provincia Autonoma Bolzano,0.6083696354796099,324696,2
KMEANS,5,Provincia Autonoma Trento,0.5559959246987123,302876,3
KMEANS,5,Puglia,0.6134029347599945,2408791,2
KMEANS,5,Sardegna,0.5789854369691376,925349,0
KMEANS,5,Sicilia,0.5423156883175689,2625283,3
KMEANS,5,Toscana,0.5932702947087956,2176313,0
KMEANS,5,Umbria,0.6196034048043209,535965,2
